,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
71,False,/2vFuG6bWGyQUzYS9d69E5l85nIz.jpg,"['Action', 'Adventure', 'Science Fiction']",667538,en,Transformers: Rise of the Beasts,"When a new threat capable of destroying the entire planet emerges, Optimus Prime and the Autobots must team up with a powerful faction known as the Maximals. With the fate of humanity hanging in the balance, humans Noah and Elena will do whatever it takes to help the Transformers as they engage in the ultimate battle to save Earth.",9226.916,/gPbM0MK8CP8A174rmUwGsADNYKD.jpg,2023-06-06,Transformers: Rise of the Beasts,False,7.4,1766
72,False,/ddygUzXBHGqnlBPcUI70ih7QOW0.jpg,['Music'],715904,en,"Metallica: WorldWired Tour - Live in Manchester, England - June 18, 2019","Filmed at Etihad Stadium in Manchester, England on June 18, 2019. This concert is part of the WorldWired Tour by American heavy metal band Metallica in support of their tenth studio album Hardwired... to Self-Destruct, which was released on November 18, 2016. It is also their first worldwide tour after the World Magnetic Tour six years earlier. Set-List: 1. Hardwired / 2. The Memory Remains (with extended outro) / 3. Disposable Heroes / 4. The God That Failed / 5. The Unforgiven / 6. Here Comes Revenge / 7. Moth Into Flame / 8. Sad but True / 9. Welcome Home (Sanitarium) (followed by Kirk & Rob's solos incl. 'I Wanna Be Adored', 'ManUNkind' & 'Orion') / 10. St. Anger / 11. One / 12. Master of Puppets / 13. For Whom the Bell Tolls / 14. Creeping Death / 15. Seek & Destroy / 16. Lords of Summer / 17. Nothing Else Matters / 18. Enter Sandman (with 'The Frayed Ends of Sanity' outro).",2.106,/ehM3D3KKo2OUxVVBFif1OJbtqGP.jpg,2020-06-08,"Metallica: WorldWired Tour - Live in Manchester, England - June 18, 2019",False,10.0,1
73,False,/4J1Vu6oGzt60fakP4delEPDqEhI.jpg,"['Thriller', 'Action', 'Crime']",38700,en,Bad Boys for Life,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",54.863,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,2020-01-15,Bad Boys for Life,False,7.1,7496
74,False,/zGLHX92Gk96O1DJvLil7ObJTbaL.jpg,"['Fantasy', 'Adventure', 'Family']",338953,en,Fantastic Beasts: The Secrets of Dumbledore,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",148.2,/jrgifaYeUtTnaH7NF5Drkgjg2MB.jpg,2022-04-06,Fantastic Beasts: The Secrets of Dumbledore,False,6.7,3667
75,False,/6mJrgL7Mi13XjJeGYJFlD6UEVQw.jpg,"['Animation', 'Family']",438695,en,Sing 2,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",182.27,/aWeKITRFbbwY8txG5uCj4rMCfSP.jpg,2021-12-01,Sing 2,False,7.9,3808
76,False,/8RKBHHRqOMOLh5qW3sS6TSFTd8h.jpg,"['Action', 'Science Fiction', 'Adventure']",399579,en,Alita: Battle Angel,"When Alita awakens with no memory of who she is in a future world she does not recognize, she is taken in by Ido, a compassionate doctor who realizes that somewhere in this abandoned cyborg shell is the heart and soul of a young woman with an extraordinary past.",81.605,/xRWht48C2V8XNfzvPehyClOvDni.jpg,2019-01-31,Alita: Battle Angel,False,7.2,8322
77,False,/yEQqrW61rwNuVRHTjgHOAU4dXNE.jpg,"['Action', 'Adventure', 'Family', 'Comedy']",675353,en,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",239.298,/6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,2022-04-08,Sonic the Hedgehog 2,False,7.6,4077
78,False,/c6H7Z4u73ir3cIoCteuhJh7UCAR.jpg,"['Science Fiction', 'Action', 'Adventure']",524434,en,Eternals,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",118.283,/lFByFSLV5WDJEv3KabbdAF959F2.jpg,2021-11-03,Eternals,False,6.9,7298
79,False,/jYEW5xZkZk2WTrdbMGAPFuBqbDc.jpg,"['Science Fiction', 'Adventure']",438631,en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",123.403,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,2021-09-15,Dune,False,7.8,9132
80,False,/fwrqW8Lp5VQuppFrODd4iJ8LySE.jpg,"['Action', 'Adventure']",335787,en,Uncharted,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.",143.421,/rJHC1RUORuUhtfNb4Npclx0xnOf.jpg,2022-02-10,Uncharted,False,7.0,4860
